WaveLength(nm) ,Level(dBm)
849.60000      ,-84.461       
849.73000      ,-83.408       
849.86000      ,-84.759       
849.99000      ,-84.967       
850.12000      ,-84.675       
850.25000      ,-83.450       
850.38000      ,-84.614       
850.51000      ,-86.807       
850.64000      ,-87.658       
850.77000      ,-84.531       
850.90000      ,-84.004       
851.03000      ,-88.301       
851.16000      ,-90.408       
851.29000      ,-85.120       
851.42000      ,-84.928       
851.55000      ,-85.098       
851.68000      ,-84.946       
851.81000      ,-83.521       
851.94000      ,-86.963       
852.07000      ,-88.308       
852.20000      ,-86.335       
852.33000      ,-86.122       
852.46000      ,-84.383       
852.59000      ,-86.327       
852.72000      ,-82.929       
852.85000      ,-84.973       
852.98000      ,-89.026       
853.11000      ,-85.317       
853.24000      ,-85.389       
853.37000      ,-84.765       
853.50000      ,-86.497       
853.63000      ,-82.073       
853.76000      ,-84.972       
853.89000      ,-84.716       
854.02000      ,-88.424       
854.15000      ,-84.548       
854.28000      ,-88.483       
854.41000      ,-84.647       
854.54000      ,-82.454       
854.67000      ,-84.902       
854.80000      ,-86.682       
854.93000      ,-83.457       
855.06000      ,-86.525       
855.19000      ,-85.392       
855.32000      ,-85.852       
855.45000      ,-84.379       
855.58000      ,-86.985       
855.71000      ,-83.433       
855.84000      ,-86.379       
855.97000      ,-87.021       
856.10000      ,-86.018       
856.23000      ,-85.717       
856.36000      ,-88.447       
856.49000      ,-83.997       
856.62000      ,-86.573       
856.75000      ,-85.189       
856.88000      ,-83.412       
857.01000      ,-83.860       
857.14000      ,-87.721       
857.27000      ,-87.336       
857.40000      ,-83.821       
857.53000      ,-86.360       
857.66000      ,-83.656       
857.79000      ,-84.904       
857.92000      ,-86.593       
858.05000      ,-85.191       
858.18000      ,-87.941       
858.31000      ,-84.146       
858.44000      ,-83.409       
858.57000      ,-82.418       
858.70000      ,-86.377       
858.83000      ,-85.826       
858.96000      ,-85.885       
859.09000      ,-85.817       
859.22000      ,-84.701       
859.35000      ,-87.416       
859.48000      ,-82.842       
859.61000      ,-83.340       
859.74000      ,-86.662       
859.87000      ,-83.466       
860.00000      ,-83.731
